Day of simulation, Number of animals, Number of plants, Number of free fields, Most popular genotype, Average energy, Average life length
1, 22, 13, 119, [6 2 5 7 6 2 2 ], 72.0, 0.0
2, 24, 15, 117, [6 2 5 7 6 2 2 ], 65.0, 0.0
3, 25, 18, 109, [0 5 5 5 4 6 7 ], 61.0, 0.0
4, 25, 21, 105, [1 3 4 6 0 7 1 ], 60.0, 0.0
5, 25, 18, 108, [0 5 5 5 4 6 7 ], 60.0, 0.0
6, 28, 17, 113, [0 5 5 5 4 6 7 ], 53.0, 0.0
7, 33, 21, 109, [0 5 5 5 3 0 6 ], 44.0, 0.0
8, 38, 23, 103, [6 0 7 0 7 3 0 ], 37.0, 0.0
9, 40, 22, 100, [6 0 7 0 7 3 0 ], 34.0, 7.0
10, 40, 26, 94, [6 0 7 0 7 3 0 ], 33.0, 5.0
11, 42, 22, 99, [6 0 7 0 7 3 0 ], 31.0, 6.0
12, 44, 19, 100, [6 0 7 0 7 3 0 ], 29.0, 6.0
13, 47, 17, 104, [6 0 7 0 7 3 0 ], 26.0, 6.0
14, 48, 16, 101, [6 0 7 0 7 3 0 ], 24.0, 6.0
15, 49, 15, 104, [6 0 7 0 7 3 0 ], 23.0, 6.0
16, 54, 17, 102, [6 0 7 0 7 3 0 ], 19.0, 6.0
17, 54, 16, 104, [6 0 7 0 7 3 0 ], 18.0, 7.0
18, 53, 18, 100, [6 2 5 7 6 2 2 ], 18.0, 7.0
19, 57, 18, 105, [6 2 5 7 6 2 2 ], 16.0, 8.0
20, 54, 16, 99, [0 5 5 5 4 6 7 ], 16.0, 8.0
21, 55, 16, 95, [6 2 5 7 6 2 2 ], 15.0, 8.0
22, 55, 16, 92, [6 2 5 7 6 2 2 ], 14.0, 8.0
23, 51, 15, 98, [6 2 5 7 6 2 2 ], 14.0, 8.0
24, 51, 18, 98, [6 2 5 7 6 2 2 ], 13.0, 8.0
25, 50, 12, 102, [6 2 5 7 6 2 2 ], 12.0, 8.0
26, 51, 13, 101, [0 5 5 5 4 6 7 ], 11.0, 8.0
27, 46, 15, 99, [4 0 2 0 6 3 0 ], 11.0, 8.0
28, 44, 17, 100, [4 0 2 0 6 3 0 ], 10.0, 8.0
29, 41, 15, 102, [0 5 3 2 0 1 6 ], 10.0, 8.0
30, 37, 14, 107, [0 5 3 2 0 1 6 ], 11.0, 9.0
31, 37, 15, 103, [0 5 3 2 0 1 6 ], 10.0, 9.0
32, 35, 16, 104, [0 5 3 2 0 1 6 ], 10.0, 9.0
33, 34, 20, 102, [0 5 3 2 0 1 6 ], 9.0, 9.0
34, 29, 22, 106, [0 5 3 2 0 1 6 ], 10.0, 9.0
35, 28, 23, 103, [0 5 3 2 0 1 6 ], 9.0, 9.0
36, 25, 23, 105, [0 5 3 2 0 1 6 ], 10.0, 10.0
37, 22, 25, 106, [6 5 4 6 3 6 1 ], 10.0, 10.0
38, 20, 25, 107, [6 5 4 6 3 6 1 ], 10.0, 10.0
39, 16, 27, 109, [0 5 5 5 4 6 7 ], 12.0, 11.0
40, 15, 29, 107, [0 5 3 2 0 1 6 ], 12.0, 11.0
41, 13, 32, 105, [0 5 3 2 0 1 6 ], 14.0, 11.0
42, 15, 34, 105, [6 4 2 1 0 1 6 ], 11.0, 11.0
43, 13, 37, 103, [6 4 2 1 0 1 6 ], 13.0, 11.0
44, 12, 40, 100, [6 4 2 1 0 1 6 ], 14.0, 11.0
